,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending,labels,new_addition
0,qdrant,qdrant/qdrant,apps,https://github.com/qdrant/qdrant,https://github.com/qdrant/qdrant,Apache-2.0,2020-05-30 21:37:01,2024-12-30 18:29:00,2024-12-09 13:38:58,1435.0,295.0,1038.0,21172.0,3653.0,2024-12-09 15:05:46,1.12.5,271024.0,6022.0,89.0,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also..",116.0,116.0,128.0,28,True,1.0,,,,
1,vector,timberio/vector,data-loading,https://github.com/vectordotdev/vector,https://github.com/vectordotdev/vector,MPL-2.0,2018-08-27 16:57:34,2024-12-30 04:37:03,2024-12-19 23:04:58,1596.0,1800.0,5927.0,18491.0,12163.0,2024-12-10 17:15:08,0.43.1,2600040.0,39394.0,87.0,A high-performance observability data pipeline.,,,486.0,28,True,1.0,vectordotdev/vector,,,
2,polars,ritchie46/polars,data-loading,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,,2020-05-13 19:45:33,2025-01-01 06:53:00,2024-12-31 14:39:28,2018.0,2136.0,7361.0,31177.0,,2024-12-24 08:51:11,py-1.18.0,2475.0,165.0,100.0,"Dataframes powered by a multithreaded, vectorized query engine, written in Rust.",16830.0,16830.0,527.0,25,False,1.0,pola-rs/polars,,,
3,tokenizers,huggingface/tokenizers,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20,2024-12-31 17:36:02,2024-12-31 17:36:01,801.0,58.0,962.0,9206.0,,2024-11-15 11:12:00,0.21.0,71.0,1.0,92.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,125779.0,125779.0,101.0,25,True,1.0,,,,
4,petgraph,petgraph/petgraph,graph,https://github.com/petgraph/petgraph,https://github.com/petgraph/petgraph,Apache-2.0,2014-12-22 08:15:12,2024-12-31 12:37:38,2024-12-31 11:18:53,345.0,154.0,169.0,3003.0,1315.0,,,,,,Graph data structure library for Rust.,127688.0,127688.0,114.0,25,True,1.0,,,,
5,MeiliSearch,meilisearch/MeiliSearch,apps,https://github.com/meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,MIT,2018-04-23 11:45:28,2024-12-31 17:44:27,2024-12-31 10:55:22,1873.0,161.0,1895.0,48491.0,,2024-12-23 08:57:05,1.12.0,245180.0,10660.0,100.0,"A lightning-fast search API that fits effortlessly into your apps, websites, and workflow.",,,203.0,24,True,1.0,,,,
6,tiktoken,openai/tiktoken,nlp,https://github.com/openai/tiktoken,https://github.com/openai/tiktoken,MIT,2022-12-01 23:22:11,2024-10-03 22:44:27,2024-10-03 21:15:34,802.0,36.0,207.0,12860.0,,2024-10-03 22:44:27,0.8.0,,,10.0,tiktoken is a fast BPE tokeniser for use with OpenAI's models.,114538.0,114538.0,17.0,24,True,1.0,,-1.0,,
7,rayon,rayon-rs/rayon,data-loading,https://github.com/rayon-rs/rayon,https://github.com/rayon-rs/rayon,Apache-2.0,2014-10-02 15:38:05,2024-12-03 00:09:51,2024-12-03 00:06:18,490.0,185.0,396.0,11280.0,,,,,,,Rayon: A data parallelism library for Rust.,249961.0,249961.0,153.0,24,True,1.0,,,,
8,redb,cberner/redb,data-loading,https://github.com/cberner/redb,https://github.com/cberner/redb,Apache-2.0,2018-09-23 18:30:14,2024-12-31 17:06:34,2024-12-31 17:06:34,157.0,9.0,315.0,3448.0,1218.0,2024-12-30 20:42:21,2.4.0,,,49.0,An embedded key-value database in pure Rust.,821.0,821.0,25.0,24,True,1.0,,,,
9,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,Unlicense,2014-03-22 06:58:51,2024-12-31 13:52:04,2024-12-31 13:51:51,221.0,57.0,174.0,1736.0,462.0,,,,,,"A CSV parser for Rust, with Serde support.",86457.0,86457.0,54.0,24,True,1.0,,,,
10,arrow,apache/arrow,data-loading,https://github.com/apache/arrow,https://github.com/apache/arrow,Apache-2.0,2016-02-17 08:00:23,2025-01-01 07:27:33,2025-01-01 07:27:33,3440.0,4101.0,21553.0,14795.0,,2024-11-24 18:49:20,apache-arrow-18.1.0,1911.0,318.0,10.0,Apache Arrow is the universal columnar format and multi-language toolbox for fast data interchange and in-memory..,8.0,8.0,1336.0,23,True,2.0,,,,
11,tantivy,tantivy-search/tantivy,apps,https://github.com/quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,MIT,2016-01-11 08:32:16,2024-12-31 20:57:47,2024-12-26 09:25:05,656.0,279.0,742.0,12359.0,,2024-04-12 05:05:18,0.22.0,,,46.0,Tantivy is a full-text search engine library inspired by Apache Lucene and written in Rust.,1724.0,1724.0,155.0,23,True,1.0,quickwit-oss/tantivy,,,
12,burn,burn-rs/burn,ml-frameworks,https://github.com/tracel-ai/burn,https://github.com/tracel-ai/burn,Apache-2.0,2022-07-18 23:11:45,2024-12-30 17:33:51,2024-12-20 21:06:22,462.0,217.0,540.0,9299.0,,2024-10-28 19:45:02,0.15.0,,,17.0,"Burn is a new comprehensive dynamic Deep Learning Framework built using Rust with extreme flexibility, compute..",554.0,554.0,149.0,23,True,1.0,tracel-ai/burn,1.0,,
13,rerun,rerun-io/rerun,image,https://github.com/rerun-io/rerun,https://github.com/rerun-io/rerun,Apache-2.0,2022-04-08 07:30:05,2025-01-01 04:11:05,2024-12-30 11:38:13,371.0,1113.0,2251.0,7394.0,,2024-12-18 15:06:06,0.21.0,66271.0,2881.0,39.0,"Visualize streams of multimodal data. Free, fast, easy to use, and simple to integrate. Built in Rust.",124.0,124.0,72.0,23,True,1.0,,,,
14,cgmath,rustgd/cgmath,image,https://github.com/rustgd/cgmath,https://github.com/rustgd/cgmath,Apache-2.0,2013-08-26 05:16:44,2024-12-07 19:29:05,2024-12-07 19:29:05,154.0,56.0,123.0,1147.0,1587.0,,,,,,A linear algebra and mathematics library for computer graphics.,15752.0,15752.0,99.0,23,True,1.0,,,,
15,memchr,BurntSushi/memchr,nlp,https://github.com/BurntSushi/memchr,https://github.com/BurntSushi/memchr,Unlicense,2015-06-11 23:01:31,2024-12-31 13:26:09,2024-12-31 13:25:21,103.0,7.0,62.0,950.0,249.0,,,,,,Optimized string search routines for Rust.,672663.0,672663.0,44.0,23,True,1.0,,,,
16,statrs,boxtown/statrs,ml-frameworks,https://github.com/statrs-dev/statrs,https://github.com/statrs-dev/statrs,MIT,2016-03-11 06:38:50,2024-12-03 06:48:06,2024-12-03 06:40:25,85.0,40.0,111.0,621.0,847.0,2024-06-08 05:11:13,0.17.1,,,3.0,Statistical computation library for Rust.,17230.0,17230.0,47.0,23,True,1.0,statrs-dev/statrs,1.0,,
17,lance,eto-ai/lance,data-loading,https://github.com/lancedb/lance,https://github.com/lancedb/lance,Apache-2.0,2022-07-07 22:29:29,2024-12-31 18:52:56,2024-12-31 18:19:03,235.0,494.0,629.0,4072.0,,2024-12-23 23:47:41,0.21.0,,,100.0,Modern columnar data format for ML and LLMs implemented in Rust. Convert from parquet in 2 lines of code for 100x..,3717.0,3717.0,75.0,22,True,2.0,lancedb/lance,,,
18,rusoto,rusoto/rusoto,ml-frameworks,https://github.com/rusoto/rusoto,https://github.com/rusoto/rusoto,MIT,2015-07-15 00:22:17,2023-12-11 09:58:15,2022-04-25 02:35:58,423.0,224.0,689.0,2734.0,3175.0,2022-04-25 05:12:51,rusoto-v0.48.0,,,42.0,AWS SDK for Rust.,310.0,310.0,189.0,22,False,1.0,,,,
19,LlamaEdge,LlamaEdge/LlamaEdge,apps,https://github.com/LlamaEdge/LlamaEdge,https://github.com/LlamaEdge/LlamaEdge,Apache-2.0,2023-10-09 03:30:44,2025-01-01 01:55:26,2024-12-18 05:39:49,97.0,4.0,103.0,1165.0,,2024-12-18 06:15:29,0.15.1,1166355.0,89719.0,79.0,The easiest & fastest way to run customized and fine-tuned LLMs locally or on the edge.,20.0,20.0,10.0,22,True,2.0,,,,
20,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,Unlicense,2015-06-11 23:02:10,2024-09-25 20:44:36,2024-09-25 20:44:34,93.0,5.0,66.0,1045.0,293.0,,,,,,A fast implementation of Aho-Corasick in Rust.,519985.0,519985.0,32.0,22,True,1.0,,,,
21,Peroxide,Axect/Peroxide,ml-frameworks,https://github.com/Axect/Peroxide,https://github.com/Axect/Peroxide,Apache-2.0,2018-04-20 18:38:06,2024-12-12 03:07:28,2024-11-22 08:20:07,32.0,9.0,29.0,561.0,1738.0,2024-11-28 04:52:52,0.39.0,,,16.0,Rust numeric library with high performance and friendly syntax.,220.0,220.0,24.0,22,True,1.0,,,,
22,candle,huggingface/candle,ml-frameworks,https://github.com/huggingface/candle,https://github.com/huggingface/candle,Apache-2.0,2023-06-19 16:06:31,2024-12-31 18:07:59,2024-12-31 18:07:47,975.0,346.0,397.0,16167.0,,,,,,,Minimalist ML framework for Rust.,1373.0,1373.0,168.0,21,True,1.0,,,,
23,arrow-datafusion,apache/arrow-datafusion,data-loading,https://github.com/apache/datafusion,https://github.com/apache/datafusion,Apache-2.0,2021-04-17 15:40:23,2025-01-01 08:30:03,2024-12-31 17:35:43,1228.0,1135.0,4420.0,6520.0,,,,,,,Apache DataFusion SQL Query Engine.,2814.0,2814.0,753.0,21,True,2.0,apache/datafusion,,,
24,mistral.rs,EricLBuehler/mistral.rs,ml-frameworks,https://github.com/EricLBuehler/mistral.rs,https://github.com/EricLBuehler/mistral.rs,MIT,2024-02-26 22:30:06,2024-12-31 21:59:47,2024-12-30 10:13:59,329.0,71.0,230.0,4744.0,2551.0,2024-11-28 19:27:09,0.3.4,1168.0,129.0,36.0,Blazingly fast LLM inference.,,,41.0,21,True,1.0,,,,
25,nalgebra,dimforge/nalgebra,ml-frameworks,https://github.com/dimforge/nalgebra,https://github.com/dimforge/nalgebra,Apache-2.0,2013-05-14 19:10:06,2024-10-31 03:54:30,2024-10-31 03:54:30,479.0,324.0,402.0,4096.0,,,,,,,Linear algebra library for Rust.,44160.0,44160.0,220.0,21,True,1.0,,-1.0,,
26,linfa,rust-ml/linfa,ml-frameworks,https://github.com/rust-ml/linfa,https://github.com/rust-ml/linfa,Apache-2.0,2018-04-05 07:03:30,2024-08-17 20:08:54,2024-07-03 11:37:43,252.0,63.0,98.0,3838.0,325.0,2022-06-15 05:07:41,0.6.0,,,8.0,A Rust machine learning framework.,574.0,574.0,45.0,21,True,1.0,,,,
27,arrow-rs,apache/arrow-rs,data-loading,https://github.com/apache/arrow-rs,https://github.com/apache/arrow-rs,Apache-2.0,2021-04-17 15:40:05,2024-12-31 13:25:14,2024-12-30 12:42:37,811.0,362.0,2468.0,2673.0,,,,,,,Official Rust implementation of Apache Arrow.,7321.0,7321.0,633.0,21,True,2.0,,,,
28,delta-rs,delta-io/delta-rs,data-loading,https://github.com/delta-io/delta-rs,https://github.com/delta-io/delta-rs,Apache-2.0,2020-04-26 03:48:06,2025-01-01 00:41:05,2025-01-01 00:17:08,410.0,181.0,978.0,2420.0,,2024-12-05 08:52:41,python-v0.22.3,,,81.0,"A native Rust library for Delta Lake, with bindings into Python.",432.0,432.0,205.0,21,True,2.0,,,,
29,synth,openquery-io/synth,data-loading,https://github.com/shuttle-hq/synth,https://github.com/shuttle-hq/synth,Apache-2.0,2020-08-09 08:51:34,2024-09-27 15:51:09,2024-09-27 15:51:09,108.0,82.0,79.0,1396.0,350.0,2022-11-20 18:01:03,0.6.9,15340.0,326.0,35.0,The Declarative Data Generator.,112.0,112.0,32.0,21,True,2.0,shuttle-hq/synth,,,
30,rust-numpy,PyO3/rust-numpy,ml-frameworks,https://github.com/PyO3/rust-numpy,https://github.com/PyO3/rust-numpy,BSD-2-Clause,2017-04-21 06:36:48,2024-12-05 21:48:11,2024-12-05 21:47:41,111.0,14.0,125.0,1158.0,,2024-11-28 21:50:50,0.23.0,,,29.0,PyO3-based Rust bindings of the NumPy C-API.,3497.0,3497.0,53.0,21,True,1.0,,,,
31,ollama-rs,pepperoni21/ollama-rs,nlp,https://github.com/pepperoni21/ollama-rs,https://github.com/pepperoni21/ollama-rs,MIT,2023-11-02 16:16:33,2024-12-30 19:40:16,2024-12-30 19:40:16,87.0,10.0,37.0,607.0,273.0,2024-12-21 10:41:21,0.2.2,,,13.0,A Rust library allowing to interact with the Ollama API.,326.0,326.0,31.0,21,True,1.0,,,,
32,ChatGPT,lencx/ChatGPT,apps,https://github.com/lencx/ChatGPT,https://github.com/lencx/ChatGPT,,2022-12-07 09:43:02,2024-08-29 17:58:11,2024-08-29 17:58:11,5932.0,748.0,346.0,53356.0,,2023-08-03 13:51:20,1.1.0,5702920.0,228116.0,34.0,"ChatGPT Desktop Application (Mac, Windows and Linux).",,,31.0,20,False,2.0,,,,
33,sonic,valeriansaliou/sonic,apps,https://github.com/valeriansaliou/sonic,https://github.com/valeriansaliou/sonic,MPL-2.0,2019-02-26 13:16:58,2024-08-03 08:43:05,2024-07-22 20:53:09,579.0,62.0,203.0,20224.0,729.0,2024-06-16 20:28:51,1.4.9,455.0,6.0,34.0,"Fast, lightweight & schema-less search backend. An alternative to Elasticsearch that runs on a few MBs of RAM.",21.0,21.0,44.0,20,True,2.0,,,,
34,tvm,apache/tvm,ml-frameworks,https://github.com/apache/tvm,https://github.com/apache/tvm,Apache-2.0,2016-10-12 22:20:28,2024-12-16 05:03:19,2024-12-15 14:56:01,3318.0,449.0,2977.0,11898.0,,2024-10-17 15:36:51,0.18.0.rc0,4708.0,56.0,20.0,"Open deep learning compiler stack for cpu, gpu and specialized accelerators.",,,1033.0,20,True,2.0,,,['binding'],
35,screenpipe,mediar-ai/screenpipe,apps,https://github.com/mediar-ai/screenpipe,https://github.com/mediar-ai/screenpipe,MIT,2024-06-19 13:23:56,2024-12-31 03:26:10,2024-12-31 03:26:08,724.0,137.0,431.0,11339.0,,2024-12-30 17:33:27,0.2.23,4340.0,620.0,84.0,"build ai agents that have the full context, open source, runs locally, developer friendly. 24/7 screen, mic, keyboard..",,,59.0,20,True,2.0,,,,
36,bloop,BloopAI/bloop,apps,https://github.com/BloopAI/bloop,https://github.com/BloopAI/bloop,Apache-2.0,2022-12-10 14:04:30,2024-12-04 17:39:21,2024-12-04 17:39:21,571.0,43.0,103.0,9473.0,,2024-04-23 16:43:29,0.6.5,53670.0,2146.0,48.0,bloop is a fast code search engine written in Rust.,,,30.0,20,True,2.0,,,,
37,grex,pemistahl/grex,nlp,https://github.com/pemistahl/grex,https://github.com/pemistahl/grex,Apache-2.0,2019-10-05 17:38:23,2024-12-31 17:21:08,2024-12-04 20:13:39,174.0,8.0,45.0,7350.0,,2024-03-06 10:49:19,1.4.5,48775.0,774.0,15.0,A command-line tool and Rust library with Python bindings for generating regular expressions from user-provided test..,164.0,164.0,10.0,20,True,1.0,,,,
38,tch-rs,LaurentMazare/tch-rs,ml-frameworks,https://github.com/LaurentMazare/tch-rs,https://github.com/LaurentMazare/tch-rs,Apache-2.0,2019-02-16 21:08:44,2024-12-10 10:38:36,2024-12-10 10:38:36,345.0,148.0,426.0,4462.0,,,,2071.0,62.0,1.0,Rust bindings for the C++ api of PyTorch.,2080.0,2080.0,78.0,20,True,2.0,,,['binding'],
39,arroyo,ArroyoSystems/arroyo,data-loading,https://github.com/ArroyoSystems/arroyo,https://github.com/ArroyoSystems/arroyo,Apache-2.0,2023-03-31 17:41:56,2024-12-31 04:04:45,2024-12-28 00:14:00,227.0,53.0,111.0,3882.0,682.0,2024-12-19 16:35:39,0.13.0,742.0,37.0,24.0,Distributed stream processing engine in Rust.,,,26.0,20,True,3.0,,,,
40,fst,BurntSushi/fst,data-loading,https://github.com/BurntSushi/fst,https://github.com/BurntSushi/fst,Unlicense,2015-09-05 00:25:46,2024-09-25 20:46:04,2024-09-25 20:46:03,118.0,26.0,62.0,1814.0,271.0,,,,,,Represent large sets and maps compactly with finite state transducers.,11447.0,11447.0,25.0,20,True,3.0,,,,
41,imageproc,image-rs/imageproc,image,https://github.com/image-rs/imageproc,https://github.com/image-rs/imageproc,MIT,2015-09-27 18:11:32,2024-12-10 18:31:46,2024-12-10 18:31:46,148.0,62.0,176.0,785.0,771.0,,,,,,Image processing operations.,5615.0,5615.0,80.0,20,True,2.0,,,,
42,azure-sdk-for-rust,Azure/azure-sdk-for-rust,ml-frameworks,https://github.com/Azure/azure-sdk-for-rust,https://github.com/Azure/azure-sdk-for-rust,MIT,2020-09-15 18:05:06,2025-01-01 00:33:20,2024-12-14 00:07:48,244.0,202.0,433.0,726.0,,,,,,24.0,This repository is for the active development of the Azure SDK for Rust. For consumers of the SDK we recommend..,1272.0,1272.0,155.0,20,True,2.0,,,['binding'],
43,fancy-regex,fancy-regex/fancy-regex,nlp,https://github.com/fancy-regex/fancy-regex,https://github.com/fancy-regex/fancy-regex,MIT,2018-10-02 17:55:03,2024-10-24 10:27:21,2024-10-24 10:27:17,37.0,14.0,33.0,445.0,,2024-10-24 08:54:21,0.14.0,,,6.0,Rust library for regular expressions using fancy features like look-around and backreferences.,12002.0,12002.0,26.0,20,True,1.0,,-1.0,,
44,sprs,vbarrielle/sprs,ml-frameworks,https://github.com/sparsemat/sprs,https://github.com/sparsemat/sprs,Apache-2.0,2015-05-17 19:01:01,2024-11-19 21:25:17,2024-11-19 21:25:15,45.0,46.0,109.0,433.0,1165.0,,,,,,sparse linear algebra library for rust.,1481.0,1481.0,37.0,20,True,2.0,sparsemat/sprs,,,
45,tabby,TabbyML/tabby,apps,https://github.com/TabbyML/tabby,https://github.com/TabbyML/tabby,,2023-03-16 09:18:01,2024-12-31 20:03:09,2024-12-31 07:48:45,1048.0,148.0,631.0,22438.0,,2024-12-24 05:39:02,0.22.0,31648.0,1978.0,100.0,Self-hosted AI coding assistant.,,,102.0,19,False,2.0,,,,True
46,llama-rs,rustformers/llama-rs,nlp,https://github.com/rustformers/llm,https://github.com/rustformers/llm,Apache-2.0,2023-03-13 16:59:26,2024-06-24 16:29:01,2024-06-24 16:28:50,354.0,81.0,150.0,6091.0,,2023-05-08 19:23:10,0.1.1,1225.0,61.0,1.0,"[Unmaintained, see README] An ecosystem of Rust libraries for working with large language models.",325.0,325.0,53.0,19,True,2.0,rustformers/llm,,,
47,zombodb,zombodb/zombodb,apps,https://github.com/zombodb/zombodb,https://github.com/zombodb/zombodb,,2015-07-17 16:53:20,2024-11-02 20:13:04,2024-11-02 19:37:33,211.0,9.0,674.0,4691.0,1644.0,2024-11-02 19:38:52,3000.2.7,8420.0,88.0,100.0,Making Postgres and Elasticsearch work together like it's 2023.,,,35.0,19,False,2.0,,,,
48,tract,sonos/tract,ml-frameworks,https://github.com/sonos/tract,https://github.com/sonos/tract,,2017-08-07 09:31:26,2024-12-20 09:36:33,2024-12-17 10:45:04,207.0,43.0,203.0,2278.0,,2024-12-05 10:46:36,0.21.8,16036.0,302.0,86.0,"Tiny, no-nonsense, self-contained, Tensorflow and ONNX inference.",35.0,35.0,76.0,19,False,2.0,,,,
49,dora,dora-rs/dora,mlops,https://github.com/dora-rs/dora,https://github.com/dora-rs/dora,Apache-2.0,2022-02-17 21:33:07,2024-12-31 18:22:52,2024-12-11 16:32:10,95.0,46.0,97.0,1643.0,,2024-12-11 16:40:10,0.3.8,2629.0,101.0,48.0,DORA (Dataflow-Oriented Robotic Architecture) is middleware designed to streamline and simplify the creation of AI-..,25.0,25.0,29.0,19,True,1.0,,,,
50,smartcore,smartcorelib/smartcore,ml-frameworks,https://github.com/smartcorelib/smartcore,https://github.com/smartcorelib/smartcore,Apache-2.0,2019-05-08 05:14:51,2024-12-31 15:22:15,2024-11-25 15:47:23,77.0,67.0,51.0,729.0,,2024-11-26 02:50:51,0.4.0,,,3.0,A comprehensive library for machine learning and numerical computing. The library provides a set of tools for linear..,249.0,249.0,29.0,19,True,2.0,,,,
51,lindera,lindera-morphology/lindera,nlp,https://github.com/lindera/lindera,https://github.com/lindera/lindera,MIT,2020-01-22 14:27:57,2024-12-29 13:21:22,2024-12-29 13:21:03,39.0,15.0,74.0,421.0,,2024-11-30 13:33:31,0.38.1,2532.0,42.0,75.0,A multilingual morphological analysis library.,813.0,813.0,19.0,19,True,2.0,lindera/lindera,,,
52,Raphtory,Pometry/Raphtory,graph,https://github.com/Pometry/Raphtory,https://github.com/Pometry/Raphtory,GPL-3.0,2017-05-30 13:15:18,2024-12-28 13:06:34,2024-12-20 16:15:59,55.0,95.0,422.0,356.0,1536.0,2024-12-02 17:33:35,0.14.0,381.0,7.0,44.0,"Scalable graph analytics database powered by a multithreaded, vectorized temporal engine, written in Rust.",17.0,17.0,31.0,19,True,2.0,,,,
